class,a,b,amount,note
Cer,1.0723,7.9259,400,
CerP,1.0242,7.1879,400,
CL,1.0246,7.1243,800,
HexCer,0.9568,7.2691,400,
LPA,1.0249,6.768,100,
LPC,1.1401,7.5484,450,
LPE,1.1622,7.1085,100,
LPS,1.0931,7.1903,100,
PA,1.0364,7.1676,100,
PC,0.9963,7.9084,2100,
PE,1.0878,6.8507,100,
PG,1.1027,7.1228,400,
PI,1.103,6.9742,120,
PS,1.1027,6.8453,100,
SM,1.0831,7.6938,400,
TAG,0.7949,8.5632,700,
LPI,1.103,6.9742,120,same to PI
eLPA,1.0249,6.768,100,same to LPA
eLPC,1.1401,7.5484,450,same to LPC
eLPE,1.1622,7.1085,100,same to LPE
eLPI,1.103,6.9742,120,same to PI
eLPS,1.0931,7.1903,100,same to LPS
ePA,1.0364,7.1676,100,same to PA
ePC,0.9963,7.9084,2100,same to PC
ePE,1.0878,6.8507,100,same to PE
ePG,1.1027,7.1228,400,same to PG
ePI,1.103,6.9742,120,same to PI
ePS,1.1027,6.8453,100,same to PS
Hex2Cer,0.9568,7.2691,400,same to HexCer
Hex3Cer,0.9568,7.2691,400,same to HexCer
