compound,a,b,amount,apply.1,apply.2,apply.3,apply.4
Cer ISTD,1.0723,7.9259,400,Cer,,,
CerP ISTD,1.0242,7.1879,400,CerP,,,
CL ISTD,1.0246,7.1243,800,CL,,,
HexCer ISTD,0.9568,7.2691,400,HexCer,Hex2Cer,,
LPA ISTD,1.0249,6.768,100,LPA,,eLPA,
LPC ISTD,1.1401,7.5484,450,LPC,,eLPC,
LPE ISTD,1.1622,7.1085,100,LPE,,eLPE,
LPS ISTD,1.0931,7.1903,100,LPS,,eLPS,
PA ISTD,1.0364,7.1676,100,PA,,ePA,
PC ISTD,0.9963,7.9084,2100,PC,,ePC,
PE ISTD,1.0878,6.8507,100,PE,,ePE,
PG ISTD,1.1027,7.1228,400,PG,,ePG,
PI ISTD,1.103,6.9742,120,PI,LPI,ePI,eLPI
PS ISTD,1.1027,6.8453,100,PS,,ePS,
SM ISTD,1.0831,7.6938,400,SM,,,
TAG ISTD,0.7949,8.5632,700,TAG,,,
