compound,a,b,amount,apply.1,apply.2,apply.3,apply.4
Cer ISTD,1.0025,8.2873,400,Cer,,,
CerP ISTD,1.0104,8.2443,400,CerP,,,
CL ISTD,1.0296,8.5905,800,CL,,,
HexCer ISTD,1.1195,7.6016,400,HexCer,Hex2Cer,,
LPA ISTD,1.0526,7.7727,100,LPA,,eLPA,
LPC ISTD,0.8569,9.2311,450,LPC,,eLPC,
LPE ISTD,1.0618,7.6461,100,LPE,,eLPE,
LPS ISTD,1.1833,7.5547,100,LPS,,eLPS,
PA ISTD,1.0669,7.7914,100,PA,,ePA,
PC ISTD,1.0295,9.8072,2100,PC,,ePC,
PE ISTD,1.0782,7.221,100,PE,,ePE,
PG ISTD,1.0987,8.0448,400,PG,,ePG,
PI ISTD,1.0758,7.4078,120,PI,LPI,ePI,eLPI
PS ISTD,1.076,7.1433,100,PS,,ePS,
SM ISTD,1.08,8.7163,400,SM,,,
TAG ISTD,0.9001,9.4521,700,TAG,,,
