compound,a,b,amount,apply.1,apply.2,apply.3,apply.4
Cer ISTD,1.034,9.3416,400,Cer,,,
CerP ISTD,1.0428,8.5587,400,CerP,,,
CL ISTD,1.055,8.8598,800,CL,,,
HexCer ISTD,1.121,8.5868,400,HexCer,Hex2Cer,,
LPA ISTD,1.0862,8.0604,100,LPA,,eLPA,
LPC ISTD,0.8664,9.6368,450,LPC,,eLPC,
LPE ISTD,1.0325,7.8899,100,LPE,,eLPE,
LPS ISTD,1.1135,7.8981,100,LPS,,eLPS,
PA ISTD,1.0709,8.1137,100,PA,,ePA,
PC ISTD,1.0018,10.176,2100,PC,,ePC,
PE ISTD,1.1091,7.5755,100,PE,,ePE,
PG ISTD,1.0846,8.413,400,PG,,ePG,
PI ISTD,1.035,7.7502,120,PI,LPI,ePI,eLPI
PS ISTD,1.076,7.489,100,PS,,ePS,
SM ISTD,1.1036,9.1493,400,SM,,,
TAG ISTD,0.937,9.6592,700,TAG,,,
