compound,a,b,amount,apply.1,apply.2,apply.3,apply.4
Cer ISTD,1.0332,8.0069,40,Cer,,,
CerP ISTD,0.8867,7.3643,40,CerP,,,
CL ISTD,1.0578,7.3096,150,CL,,,
HexCer ISTD,1.0792,7.0518,70,HexCer,Hex2Cer,,
LPA ISTD,0.9962,7.3425,10,LPA,,eLPA,
LPC ISTD,0.9808,8.3298,120,LPC,,eLPC,
LPE ISTD,1.0518,7.3073,60,LPE,,eLPE,
LPS ISTD,1.0701,7.4108,10,LPS,,eLPS,
PA ISTD,1.0161,7.3946,20,PA,,ePA,
PC ISTD,0.9418,8.3276,2400,PC,,ePC,
PE ISTD,1.0168,6.8405,2000,PE,,ePE,
PG ISTD,1.0603,7.1759,400,PG,,ePG,
PI ISTD,1.0658,7.0008,500,PI,LPI,ePI,eLPI
PS ISTD,1.0549,6.7858,900,PS,,ePS,
SM ISTD,1.054,7.8178,1300,SM,,,
TAG ISTD,0.8695,8.3614,1000,TAG,,,
